seq_id,organism,genus,evalue,score,bias,description
KAL0483881.1,Acrasis kona,Acrasis,6.70E-91,302,0,actin [Acrasis kona]
KAL0486970.1,Acrasis kona,Acrasis,6.70E-91,302,0,actin [Acrasis kona]
KAL0491090.1,Acrasis kona,Acrasis,6.70E-91,302,0,actin [Acrasis kona]
KAL0491647.1,Acrasis kona,Acrasis,6.70E-91,302,0,actin [Acrasis kona]
EPY35827.1,Angomonas deanei,Angomonas,2.60E-89,296.8,0.1,"actin, other eukaryote [Angomonas deanei]"
EPY38173.1,Angomonas deanei,Angomonas,2.60E-89,296.8,0.1,"actin, other eukaryote [Angomonas deanei]"
EPY39073.1,Angomonas deanei,Angomonas,2.60E-89,296.8,0.1,"actin, other eukaryote [Angomonas deanei]"
EPY42667.1,Angomonas deanei,Angomonas,2.60E-89,296.8,0.1,"actin, other eukaryote [Angomonas deanei]"
CAD2219603.1,Angomonas deanei,Angomonas,8.90E-43,143.4,0,"Actin, putative [Angomonas deanei]"
CAD2220884.1,Angomonas deanei,Angomonas,0.00021,17,0.1,"Actin, putative [Angomonas deanei]"
EPY43030.1,Angomonas deanei,Angomonas,0.0087,11.7,0,hypothetical protein AGDE_00893 [Angomonas deanei]
CAD2218662.1,Angomonas deanei,Angomonas,0.021,10.4,0,"Actin, putative [Angomonas deanei]"
EPY41548.1,Angomonas deanei,Angomonas,0.021,10.4,0,actin beta/gamma 1 [Angomonas deanei]
KAJ9444683.1,Diplonema papillatum,Diplonema,8.20E-87,288.5,0,Actin-2 [Diplonema papillatum]
KAJ9444684.1,Diplonema papillatum,Diplonema,8.20E-87,288.5,0,Actin-2 [Diplonema papillatum]
KAJ9470033.1,Diplonema papillatum,Diplonema,8.20E-87,288.5,0,Actin-2 [Diplonema papillatum]
KAJ9470034.1,Diplonema papillatum,Diplonema,8.20E-87,288.5,0,Actin-2 [Diplonema papillatum]
KAJ9470036.1,Diplonema papillatum,Diplonema,8.20E-87,288.5,0,Actin-2 [Diplonema papillatum]
KAJ9442871.1,Diplonema papillatum,Diplonema,6.00E-13,45.2,0,Actin-6 [Diplonema papillatum]
ACS74731.1,Leishmania aethiopica,Leishmania,1.60E-91,304,0,actin [Leishmania aethiopica]
ACS74725.1,Leishmania amazonensis,Leishmania,3.00E-92,306.4,0,actin [Leishmania amazonensis]
ACS74726.1,Leishmania amazonensis,Leishmania,3.00E-92,306.4,0,actin [Leishmania amazonensis]
ACS74724.1,Leishmania braziliensis,Leishmania,5.40E-92,305.6,0.1,actin [Leishmania braziliensis]
CAJ2469975.1,Leishmania braziliensis,Leishmania,1.40E-75,251.5,0,unnamed protein product [Leishmania braziliensis]
CAJ2469453.1,Leishmania braziliensis,Leishmania,1.40E-75,251.5,0,unnamed protein product [Leishmania braziliensis]
CAJ2468719.1,Leishmania braziliensis,Leishmania,1.20E-51,172.6,0,unnamed protein product [Leishmania braziliensis]
CAJ2481648.1,Leishmania braziliensis,Leishmania,5.80E-35,117.7,0,unnamed protein product [Leishmania braziliensis]
CAJ2482045.1,Leishmania braziliensis,Leishmania,5.80E-35,117.7,0,unnamed protein product [Leishmania braziliensis]
KAI5691398.1,Leishmania braziliensis,Leishmania,5.80E-35,117.7,0,actin [Leishmania braziliensis]
KAI5688391.1,Leishmania braziliensis,Leishmania,9.90E-31,103.8,0,actin [Leishmania braziliensis]
CAJ2480109.1,Leishmania braziliensis,Leishmania,4.30E-21,72,0,unnamed protein product [Leishmania braziliensis]
CAJ2471667.1,Leishmania braziliensis,Leishmania,2.60E-08,29.9,0.1,unnamed protein product [Leishmania braziliensis]
CAJ2472242.1,Leishmania braziliensis,Leishmania,2.60E-08,29.9,0.1,unnamed protein product [Leishmania braziliensis]
CAJ2472357.1,Leishmania braziliensis,Leishmania,0.00048,15.8,0,unnamed protein product [Leishmania braziliensis]
KAI5685121.1,Leishmania braziliensis,Leishmania,0.0037,12.9,0,actin [Leishmania braziliensis]
CAJ2476764.1,Leishmania braziliensis,Leishmania,0.0037,12.9,0,unnamed protein product [Leishmania braziliensis]
SYZ62696.1,Leishmania braziliensis MHOM/BR/75/M2904,Leishmania,7.00E-92,305.2,0.1,actin (plasmid) [Leishmania braziliensis MHOM/BR/75/M2904]
CAM42153.2,Leishmania braziliensis MHOM/BR/75/M2904,Leishmania,1.40E-75,251.5,0,putative actin-related protein 3 [Leishmania braziliensis MHOM/BR/75/M2904]
CAM45639.2,Leishmania braziliensis MHOM/BR/75/M2904,Leishmania,1.20E-51,172.6,0,putative actin-like protein [Leishmania braziliensis MHOM/BR/75/M2904]
SYZ63899.1,Leishmania braziliensis MHOM/BR/75/M2904,Leishmania,1.20E-51,172.6,0,actin-like_protein (plasmid) [Leishmania braziliensis MHOM/BR/75/M2904]
CAM44106.1,Leishmania braziliensis MHOM/BR/75/M2904,Leishmania,5.80E-35,117.7,0,putative actin-like protein [Leishmania braziliensis MHOM/BR/75/M2904]
SYZ70173.1,Leishmania braziliensis MHOM/BR/75/M2904,Leishmania,5.80E-35,117.7,0,actin-like_protein [Leishmania braziliensis MHOM/BR/75/M2904]
CAM38289.1,Leishmania braziliensis MHOM/BR/75/M2904,Leishmania,9.90E-31,103.8,0,putative actin-related protein 2 [Leishmania braziliensis MHOM/BR/75/M2904]
CAM43295.1,Leishmania braziliensis MHOM/BR/75/M2904,Leishmania,4.30E-21,72,0,putative actin-like protein [Leishmania braziliensis MHOM/BR/75/M2904]
SYZ69364.1,Leishmania braziliensis MHOM/BR/75/M2904,Leishmania,4.30E-21,72,0,actin-like_protein [Leishmania braziliensis MHOM/BR/75/M2904]
CAM38682.1,Leishmania braziliensis MHOM/BR/75/M2904,Leishmania,2.60E-08,29.9,0.1,putative actin-like protein [Leishmania braziliensis MHOM/BR/75/M2904]
CAM38810.1,Leishmania braziliensis MHOM/BR/75/M2904,Leishmania,0.00048,15.8,0,putative actin-like protein [Leishmania braziliensis MHOM/BR/75/M2904]
SYZ65631.1,Leishmania braziliensis MHOM/BR/75/M2904,Leishmania,0.00048,15.8,0,actin-like_protein (plasmid) [Leishmania braziliensis MHOM/BR/75/M2904]
CAM40136.1,Leishmania braziliensis MHOM/BR/75/M2904,Leishmania,0.0037,12.9,0,putative actin-like protein [Leishmania braziliensis MHOM/BR/75/M2904]
SYZ67802.1,Leishmania braziliensis MHOM/BR/75/M2904,Leishmania,0.0037,12.9,0,actin-like_protein [Leishmania braziliensis MHOM/BR/75/M2904]
ACS74720.1,Leishmania chagasi,Leishmania,2.40E-91,303.4,0,actin [Leishmania chagasi]
CAJ1987563.1,Leishmania donovani,Leishmania,2.10E-96,320.1,0,Arp3 | actin-related protein 3 [Leishmania donovani]
TPP53203.1,Leishmania donovani,Leishmania,2.10E-96,320.1,0,Actin family protein [Leishmania donovani]
CBZ32956.1,Leishmania donovani,Leishmania,2.50E-96,319.9,0,"actin-related protein 3, putative arp3 [Leishmania donovani]"
TPP47677.1,Leishmania donovani,Leishmania,2.50E-96,319.9,0,Actin family protein [Leishmania donovani]
ACS74710.1,Leishmania donovani,Leishmania,2.40E-91,303.4,0,actin [Leishmania donovani]
AYU75905.1,Leishmania donovani,Leishmania,2.40E-91,303.4,0,actin [Leishmania donovani]
TPP43057.1,Leishmania donovani,Leishmania,2.40E-91,303.4,0,Actin family protein [Leishmania donovani]
CAJ1987186.1,Leishmania donovani,Leishmania,3.00E-53,178,0,actin-like protein [Leishmania donovani]
AYU77162.1,Leishmania donovani,Leishmania,3.00E-53,177.9,0,"actin-like protein, putative [Leishmania donovani]"
CBZ32583.1,Leishmania donovani,Leishmania,3.00E-53,177.9,0,"actin-like protein, putative [Leishmania donovani]"
TPP45180.1,Leishmania donovani,Leishmania,3.00E-53,177.9,0,Actin family protein [Leishmania donovani]
AYU83701.1,Leishmania donovani,Leishmania,6.60E-35,117.5,0,"actin-like protein, putative [Leishmania donovani]"
CAJ1993719.1,Leishmania donovani,Leishmania,6.60E-35,117.5,0,actin-like protein [Leishmania donovani]
CBZ38785.1,Leishmania donovani,Leishmania,6.60E-35,117.5,0,"actin-like protein, putative [Leishmania donovani]"
TPP50953.1,Leishmania donovani,Leishmania,5.40E-34,114.5,0,Actin family protein [Leishmania donovani]
AYU78219.1,Leishmania donovani,Leishmania,1.30E-32,109.9,0,"actin-related protein 2, putative [Leishmania donovani]"
CAJ1988241.1,Leishmania donovani,Leishmania,1.30E-32,109.9,0,actin-related protein 2 | Arp2 [Leishmania donovani]
CBZ33587.1,Leishmania donovani,Leishmania,1.30E-32,109.9,0,"actin-related protein 2, putative [Leishmania donovani]"
CBZ32950.1,Leishmania donovani,Leishmania,2.50E-21,72.8,0.1,"actin-like protein, putative [Leishmania donovani]"
TPP47683.1,Leishmania donovani,Leishmania,2.50E-21,72.8,0.1,Actin family protein [Leishmania donovani]
AYU82879.1,Leishmania donovani,Leishmania,3.10E-21,72.5,0,"actin-like protein, putative [Leishmania donovani]"
CBZ37986.1,Leishmania donovani,Leishmania,3.10E-21,72.5,0,"actin-like protein, putative [Leishmania donovani]"
